team,players_used,avg_age,possession,games,games_starts,minutes,minutes_90s,goals,assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,xg,gk_games,gk_games_starts,gk_minutes,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_clean_sheets,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,shots,shots_on_target,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,passes_completed,passes,progressive_passes,passes_dead,passes_free_kicks,passes_switches,crosses,throw_ins,corner_kicks,passes_offsides,tackles,tackles_won,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,touches,dribbles_completed,dribbles,miscontrols,dispossessed,games_subs,points_per_game,on_goals_for,on_goals_against,goal_difference,on_xg_for,on_xg_against,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Argentina,24,28.4,57.4,7,77,690,7.7,15,8,11,4,5,17,0,1.96,1.04,15.2,7,7,690,8,1.04,13,6,3,2,2,0,0,95,41,12.39,5.35,0.12,0.27,18.3,3911,4625,217,365,119,21,94,151,39,23,123,69,59,100,59,41,84,14,70,52,175,124,0,5388,45,112,99,81,36,2,15,8,7,15.2,4.6,0,100,115,23,5,2,1,357,83,90,48
Australia,20,28.7,37.8,4,44,360,4,3,3,3,0,0,7,0,0.75,0.75,2.3,4,4,360,6,1.5,18,12,2,0,0,0,0,26,8,6.5,2,0.12,0.38,18.5,1254,1696,68,202,48,13,54,98,8,1,58,30,34,58,58.6,24,64,20,44,40,98,104,3,2155,13,46,61,36,19,1.5,4,6,-2,2.3,7.2,0,52,34,1,0,0,0,200,72,72,50
Belgium,20,30.6,57,3,33,270,3,1,1,1,0,0,5,0,0.33,0.33,4.7,3,3,270,2,0.67,11,8,2,1,0,1,0,35,9,11.67,3,0.03,0.11,15.6,1598,1885,99,149,42,9,53,49,17,3,48,27,26,41,63.4,15,33,8,25,17,65,59,1,2172,19,45,47,24,14,1.33,1,2,-1,4.7,4.6,0,30,35,3,0,1,0,132,33,28,54.1
Brazil,26,28.5,56.2,5,55,480,5.3,8,6,7,1,1,6,0,1.5,1.13,12,5,5,480,3,0.56,10,7,2,0,0,0,0,95,40,17.81,7.5,0.07,0.18,17.5,2750,3203,190,253,78,15,106,102,37,8,88,51,33,56,58.9,23,60,10,50,40,128,63,1,3772,32,110,88,58,25,2,8,3,5,12,2,0,63,74,8,1,0,0,271,43,56,43.4
Cameroon,22,28,41.7,3,33,270,3,4,4,4,0,0,8,1,1.33,1.33,3.4,3,3,260,4,1.38,15,11,1,0,0,0,0,28,16,9.33,5.33,0.14,0.25,16.4,960,1252,62,145,45,10,53,47,12,2,42,20,12,27,44.4,15,22,6,16,40,82,71,1,1571,24,55,39,24,12,1.33,4,4,0,3.4,5.8,1,32,38,2,0,0,0,142,42,36,53.8
Canada,19,28.2,52,3,33,270,3,1,1,1,0,1,8,0,0.33,0.33,4.2,3,3,270,7,2.33,15,8,0,0,0,0,0,34,4,11.33,1.33,0.03,0.25,17,1307,1586,84,154,41,11,54,76,12,8,41,23,20,40,50,20,26,5,21,18,59,41,2,1889,31,82,52,30,15,0,2,7,-5,4.2,3.9,0,33,37,8,0,0,0,145,30,21,58.8
Costa Rica,22,30.6,31.3,3,33,270,3,3,1,3,0,0,6,0,1,0.33,1.4,3,3,270,11,3.67,22,11,1,1,1,0,0,12,7,4,2.33,0.25,0.43,17,823,1101,38,135,42,15,21,43,1,13,67,35,33,65,50.8,32,42,14,28,31,98,83,1,1436,17,37,43,31,14,1,3,11,-8,1.4,10.1,0,24,37,13,0,1,0,142,38,30,55.9
Croatia,21,29.2,54.3,7,77,690,7.7,8,8,8,0,0,8,0,1.04,1.04,7,7,7,690,7,0.91,31,24,2,1,1,0,0,79,26,10.3,3.39,0.1,0.31,18.5,3766,4523,236,359,102,36,153,161,30,11,132,83,56,101,55.4,45,77,28,49,53,185,143,0,5288,40,99,106,70,32,1.43,8,7,1,7,11,0,90,90,11,0,1,0,409,87,87,50
Denmark,20,27.5,60,3,33,270,3,1,1,1,0,0,5,0,0.33,0.33,2.7,3,3,270,3,1,11,8,1,0,0,0,0,34,10,11.33,3.33,0.03,0.1,17.1,1598,1944,133,143,27,29,67,73,21,5,42,27,18,39,46.2,21,43,16,27,23,65,49,0,2255,10,47,50,25,13,0.33,1,3,-2,2.7,3.9,0,28,23,5,0,0,0,171,51,48,51.5
Ecuador,18,25.8,53.3,3,33,270,3,4,2,3,1,1,3,0,1.33,0.67,3.7,3,3,270,3,1,4,1,1,1,1,0,0,29,10,9.67,3.33,0.1,0.3,18.2,1153,1473,52,153,46,3,57,69,11,8,46,30,12,36,33.3,24,33,4,29,28,74,42,1,1761,13,43,65,25,11,1.33,4,3,1,3.7,2.6,0,50,37,8,1,1,0,135,50,49,50.5
